Waterbody OGF ID,Waterbody Location Identifier,Official Name,Official French Name,Unofficial Name,Latitude,Longitude,Effective Date,Expiry Date
125209687,17-5359-52642,Greenshore Lake,lac Greenshore,,47.5336026,-80.5235744,01/01/2022,12/31/2022
125209687,17-5379-51863,Colin Scott Lake,lac Colin Scott,,46.83089,-80.50312,01/01/2022,12/31/2022
125209687,17-5379-51960,,,Upper Eaglenest Lake (Unofficial Name),46.9184779,-80.5020485,01/01/2022,12/31/2022
125209687,17-5380-51770,Rocky Lake,lac Rocky,,46.74728,-80.50202,01/01/2022,12/31/2022
125209687,17-5381-51865,Dip Lake,lac Dip,,46.8435497,-80.4947301,01/01/2022,12/31/2022
125209687,17-5381-51884,Edna Lake,lac Edna,,46.8515424,-80.49519,01/01/2022,12/31/2022
125209687,17-5381-51958,Eaglenest Lake,lac Eaglenest,,46.911671,-80.5081613,01/01/2022,12/31/2022
125209687,17-5386-51776,Little Rocky Lake,petit lac Rocky,,46.75311,-80.49479,01/01/2022,12/31/2022
125209687,17-5387-51919,,,McCarthy Lake 32 (Unofficial Name),46.8815374,-80.4918906,01/01/2022,12/31/2022
125209687,17-5388-52737,,,Roadhouse Lake 20 (Unofficial Name),47.6175822,-80.4834637,01/01/2022,12/31/2022
125209687,17-5333-51833,Norman Lake,lac Norman,,46.8049893,-80.5642409,01/01/2022,12/31/2022
125209687,17-5377-51779,Chuggin Lake,lac Chuggin,,46.75561,-80.50673,01/01/2022,12/31/2022
125209687,17-5350-51707,Wright's Bay,baie de Wright,,46.69062,-80.54257,01/01/2022,12/31/2022
125209687,17-5255-51680,Outlet Bay,baie Outlet,,46.67679,-80.67553,01/01/2022,12/31/2022
125209687,17-5338-52629,Southbear Lake,lac Southbear,,47.5213016,-80.5506733,01/01/2022,12/31/2022
125209687,17-5340-52544,,,Brewster Lake 41 (Unofficial Name),47.4441964,-80.5488301,01/01/2022,12/31/2022
125209687,17-5341-51834,Mark Lake,lac Mark,,46.80506,-80.55313,01/01/2022,12/31/2022
125209687,17-5342-51995,Sunfish Lake,lac Sunfish,,46.9419493,-80.5560703,01/01/2022,12/31/2022
125209687,17-5343-51599,Halfway Lake,lac Halfway,,46.5946789,-80.5527194,01/01/2022,12/31/2022
125209687,17-5343-51884,Big Valley Creek,ruisseau Big Valley,,46.8450301,-80.5550329,01/01/2022,12/31/2022
125209687,17-5343-51921,Owen Lake,lac Owen,,46.88082,-80.55551,01/01/2022,12/31/2022
125209687,17-5344-51754,Kukagami Lake,lac Kukagami,,46.7333457,-80.5512603,01/01/2022,12/31/2022
125209687,17-5362-51765,Outlet Bay,baie Outlet,,46.74283,-80.52535,01/01/2022,12/31/2022
125209687,17-5345-51899,Little Valley Lake,petit lac Valley,,46.86395,-80.54702,01/01/2022,12/31/2022
125209687,17-5392-51750,Carafel Lake,lac Carafel,,46.7296267,-80.483587,01/01/2022,12/31/2022
125209687,17-5351-51628,Jones Lake,lac Jones,,46.6209888,-80.540883,01/01/2022,12/31/2022
125209687,17-5351-52014,Josephine Lake,lac Josephine,,46.9673752,-80.5410038,01/01/2022,12/31/2022
125209687,17-5352-51958,Pedro Lake,lac Pedro,,46.91645,-80.53757,01/01/2022,12/31/2022
125209687,17-5353-51694,McDonald's Lake,lac de McDonald,,46.67895,-80.53813,01/01/2022,12/31/2022
125209687,17-5355-51744,Long Lake,lac Long,,46.72423,-80.53562,01/01/2022,12/31/2022
125209687,17-5355-52003,Josephine Creek,ruisseau Josephine,,46.9574234,-80.5335857,01/01/2022,12/31/2022
125209687,17-5356-51847,Kettyle Lake,lac Kettyle,,46.81178,-80.53911,01/01/2022,12/31/2022
125209687,17-5356-51994,Halleck Lake,lac Halleck,,46.94923,-80.53174,01/01/2022,12/31/2022
